BioWare Version 5.3.2.9 Export
Device:	Mobile_2_BEZ 9286BA	Mobile_2_BEZ 9286BA	Mobile_2_BEZ 9286BA	Mobile_2_BEZ 9286BA	mobile1 9286BA	mobile1 9286BA	mobile1 9286BA	mobile1 9286BA
Samples (#):	26204	26204	26204	26204	26204	26204	26204	26204
Rate (Hz):	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000
Contact period start (sample #):	0	0	0	0	0	0	0	0
Contact period end (sample #):	23851	23851	23851	23851	24593	24593	24593	24593
Contact period start time (s):	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Contact period end time (s):	23.851000	23.851000	23.851000	23.851000	24.593000	24.593000	24.593000	24.593000
First sample time (s):	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Normalized force (N):	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Normalized length (m):	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
File Information
Date	Jan 01, 1980  03:02:40
Name	
ID	
Classification	
Description	
abs time (s)	Fx	Fy	Fz	|Ft|	Fx	Fy	Fz	|Ft|
	N	N	N	N	N	N	N	N
0.052000	-58.114454	-0.668639	413.391891	417.457295	-56.918434	-6.615622	499.466194	502.742433
0.053000	-58.193611	-0.822651	413.392937	417.469632	-56.458218	-6.924035	499.805267	503.031587
0.054000	-58.039326	-0.361234	414.416367	418.461012	-56.457602	-5.998637	499.131271	502.349948
0.055000	-58.347389	-0.745568	412.884216	416.987230	-56.610802	-6.770062	498.114372	501.366677
0.056000	-58.040834	-0.668639	414.924034	418.964366	-56.304399	-6.615154	498.788765	502.000177
0.057000	-58.117474	-0.591711	415.439323	419.485187	-56.305017	-6.769439	499.130501	502.341853
0.058000	-58.040834	-0.361234	416.631622	420.655177	-55.690981	-6.923880	496.744049	499.904067
0.059000	-57.734280	-0.438318	416.461891	420.444938	-56.611725	-6.615777	497.774933	501.027484
0.060000	-57.888063	-0.591556	416.299782	420.305706	-56.303783	-7.232450	499.811722	503.025031
0.061000	-57.965204	-0.207067	417.662842	421.666049	-56.763693	-6.923568	498.113647	501.385339
0.062000	-57.734785	-0.053829	417.492546	421.465698	-55.690363	-6.615465	498.107567	501.254755
0.063000	-57.966717	0.330814	417.834099	421.835968	-55.997690	-7.541020	498.107193	501.301690
0.064000	-58.042850	0.407743	418.859055	422.861734	-55.537163	-7.386423	498.785759	501.922473
0.065000	-58.041843	0.331278	419.374908	423.372506	-56.150890	-6.615622	497.435463	500.638321
0.066000	-58.118481	0.946088	419.547691	423.555095	-56.303783	-7.540552	496.748566	499.986113
0.067000	-58.197136	0.946088	420.058403	424.071767	-56.150890	-7.386735	498.106049	501.315392
0.068000	-57.967220	1.099635	420.065063	424.047244	-56.304708	-6.769751	499.132408	502.343718
0.069000	-58.122513	1.560897	421.600914	425.591346	-56.150583	-7.386735	498.454636	501.661714
0.070000	-58.122007	1.253802	421.256798	425.249373	-56.456984	-7.078165	496.744049	499.992142
0.071000	-57.891588	1.407660	422.114029	426.067683	-55.996765	-7.078165	497.428268	500.620236
0.072000	-57.892090	1.177029	422.628441	426.576697	-56.610493	-7.078009	497.431702	500.692664
0.073000	-58.124529	1.253957	422.627396	426.607488	-55.997074	-7.695305	498.452347	501.646920
0.074000	-57.740326	0.946707	424.508888	428.418764	-56.304708	-6.769906	496.755783	499.982360
0.075000	-58.125532	0.869933	423.831406	427.799480	-56.610493	-6.923880	496.406837	499.672329
0.076000	-57.203348	1.023790	422.983620	426.835347	-56.303474	-6.924035	498.109856	501.329684
0.077000	-57.589060	0.946862	423.499084	427.397790	-55.996765	-6.307363	496.407982	499.596142
0.078000	-57.358141	0.409291	423.500130	427.366919	-56.917202	-6.615933	498.793343	502.073836
0.079000	-57.590574	0.178505	420.946381	424.867699	-56.303474	-6.769906	497.770409	500.990312
0.080000	-57.052086	0.178659	423.335449	427.162586	-56.610184	-7.540864	495.054291	498.337565
0.081000	-57.205866	0.102196	424.359451	428.197928	-56.150274	-6.461648	498.452339	501.646629
0.082000	-57.053095	-0.205364	423.000092	426.830382	-55.690672	-6.615777	498.794075	501.936997
0.083000	-57.055111	-0.282447	423.005219	426.835777	-56.303165	-6.461648	497.774933	500.990702
0.084000	-56.977966	-0.897102	422.499550	426.325185	-56.763693	-7.078788	495.399452	498.691130
0.085000	-56.670908	-0.973876	421.995499	425.784853	-56.149965	-7.386890	497.089195	500.304960
0.086000	-56.748554	-1.127269	420.972466	424.781692	-56.303165	-7.540708	497.098663	500.333878
0.087000	-57.056620	-1.665150	421.488876	425.336459	-56.456984	-7.232294	497.429413	500.675262
0.088000	-56.826704	-1.742388	420.640617	424.465357	-55.690056	-6.615777	495.387337	498.551667
0.089000	-56.979980	-2.279805	421.835388	425.672421	-55.844181	-7.078321	498.450844	501.619297
0.090000	-56.673927	-2.049483	419.965866	423.777610	-55.996765	-6.924191	496.755783	499.949888
0.091000	-56.904350	-2.510745	419.288475	423.139734	-55.843872	-6.923880	496.414063	499.593234
0.092000	-57.060144	-2.587364	418.610504	422.489418	-55.690056	-6.770062	496.750847	499.908612
0.093000	-56.983004	-2.971852	418.106369	421.982026	-55.996147	-7.078321	497.427902	500.619805
0.094000	-57.444347	-3.356186	418.279228	422.218699	-55.843256	-6.923880	498.117813	501.286111
0.095000	-57.137793	-3.509579	417.772522	421.676327	-56.150274	-6.461648	496.409119	499.616472
0.096000	-57.139807	-3.970686	416.075775	419.999732	-55.690056	-6.769906	497.777214	500.928507
0.097000	-57.292580	-4.431793	415.735748	419.688328	-55.995842	-6.924348	497.771545	500.959073
0.098000	-57.369219	-4.662269	415.742416	419.707899	-56.150274	-6.769906	497.426765	500.631673
0.099000	-57.370731	-4.816126	414.890617	418.866113	-56.456984	-5.844508	495.049759	498.292899
0.100000	-57.524010	-5.277233	414.217415	418.225929	-56.150274	-6.153234	496.762245	499.963442
0.101000	-57.448881	-5.891888	414.219986	418.226356	-56.303474	-6.461025	499.476433	502.681343
0.102000	-57.526026	-6.353305	413.877388	417.904415	-56.303783	-6.769595	496.076874	499.307729
0.103000	-57.297113	-6.506853	413.713745	417.713252	-56.304092	-6.461493	497.433205	500.651271
0.104000	-57.835098	-7.351829	412.358467	416.459426	-57.070711	-6.769906	497.435860	500.744777
0.105000	-57.142832	-7.428757	411.850319	415.861966	-56.149965	-7.078165	498.793350	501.993750
0.106000	-57.605684	-7.659543	412.025673	416.103639	-56.149965	-6.153078	500.493706	503.671151
0.107000	-57.759466	-8.274198	410.493530	414.619774	-56.610493	-5.844508	500.148537	503.376067
0.108000	-57.530052	-8.735150	412.369225	416.454544	-56.764002	-6.770062	500.158012	503.414365
0.109000	-57.224504	-9.427352	411.014343	415.085906	-56.150274	-6.461336	500.488396	503.669769
0.110000	-57.915764	-10.119401	409.486290	413.685460	-56.304092	-6.152923	500.159523	503.356293
0.111000	-57.607698	-10.349257	408.638107	412.808499	-55.689440	-6.769906	501.172997	504.303002
